2018-07-31 00:29:46 install e2fslibs:arm64 <none> 1.42.13-1ubuntu1
2018-07-31 00:29:46 status half-installed e2fslibs:arm64 1.42.13-1ubuntu1
2018-07-31 00:29:46 status unpacked e2fslibs:arm64 1.42.13-1ubuntu1
2018-07-31 00:29:46 status unpacked e2fslibs:arm64 1.42.13-1ubuntu1
2018-07-31 00:29:46 install e2fsprogs:arm64 <none> 1.42.13-1ubuntu1
2018-07-31 00:29:46 status half-installed e2fsprogs:arm64 1.42.13-1ubuntu1
2018-07-31 00:29:46 status unpacked e2fsprogs:arm64 1.42.13-1ubuntu1
2018-07-31 00:29:46 status unpacked e2fsprogs:arm64 1.42.13-1ubuntu1
2018-07-31 00:29:46 install findutils:arm64 <none> 4.6.0+git+20160126-2
2018-07-31 00:29:46 status half-installed findutils:arm64 4.6.0+git+20160126-2
2018-07-31 00:29:46 status unpacked findutils:arm64 4.6.0+git+20160126-2
2018-07-31 00:29:46 status unpacked findutils:arm64 4.6.0+git+20160126-2
2018-07-31 00:29:46 install gcc-6-base:arm64 <none> 6.0.1-0ubuntu1
2018-07-31 00:29:46 status half-installed gcc-6-base:arm64 6.0.1-0ubuntu1
2018-07-31 00:29:47 status unpacked gcc-6-base:arm64 6.0.1-0ubuntu1
2018-07-31 00:29:47 status unpacked gcc-6-base:arm64 6.0.1-0ubuntu1
2018-07-31 00:29:47 install grep:arm64 <none> 2.24-1
2018-07-31 00:29:47 status half-installed grep:arm64 2.24-1
2018-07-31 00:29:47 status unpacked grep:arm64 2.24-1
2018-07-31 00:29:47 status unpacked grep:arm64 2.24-1
2018-07-31 00:29:47 install gzip:arm64 <none> 1.6-4ubuntu1
2018-07-31 00:29:47 status half-installed gzip:arm64 1.6-4ubuntu1
2018-07-31 00:29:47 status unpacked gzip:arm64 1.6-4ubuntu1
2018-07-31 00:29:47 status unpacked gzip:arm64 1.6-4ubuntu1
2018-07-31 00:29:47 install hostname:arm64 <none> 3.16ubuntu2
2018-07-31 00:29:47 status half-installed hostname:arm64 3.16ubuntu2
2018-07-31 00:29:47 status unpacked hostname:arm64 3.16ubuntu2
2018-07-31 00:29:47 status unpacked hostname:arm64 3.16ubuntu2
2018-07-31 00:29:47 install init:arm64 <none> 1.29ubuntu1
2018-07-31 00:29:47 status half-installed init:arm64 1.29ubuntu1
2018-07-31 00:29:47 status unpacked init:arm64 1.29ubuntu1
2018-07-31 00:29:47 status unpacked init:arm64 1.29ubuntu1
2018-07-31 00:29:47 install init-system-helpers:all <none> 1.29ubuntu1
2018-07-31 00:29:47 status half-installed init-system-helpers:all 1.29ubuntu1
2018-07-31 00:29:47 status unpacked init-system-helpers:all 1.29ubuntu1
2018-07-31 00:29:47 status unpacked init-system-helpers:all 1.29ubuntu1
2018-07-31 00:29:47 install initscripts:arm64 <none> 2.88dsf-59.3ubuntu2
2018-07-31 00:29:47 status half-installed initscripts:arm64 2.88dsf-59.3ubuntu2
2018-07-31 00:29:47 status unpacked initscripts:arm64 2.88dsf-59.3ubuntu2
